Dataset_Name,N°TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,NaiveBayes,0.9540229885057471,0.4911242603550296,0.9380161551232387,0.6307111429659019
BOOKKEEPER,1,RandomForest,0.9763313609467456,0.4881656804733728,0.8418563226342003,0.6336386337510784
BOOKKEEPER,1,IBk,0.9871382636655949,0.6055226824457594,0.8442275765186668,0.7364588664382007
BOOKKEEPER,2,NaiveBayes,0.7582417582417582,0.7263157894736842,0.9824796813856022,0.7208656602241124
BOOKKEEPER,2,RandomForest,0.8773841961852861,0.8473684210526315,0.929300483941927,0.8508063686154028
BOOKKEEPER,2,IBk,0.8597972972972973,0.8929824561403509,0.9347312591494868,0.8655040526407197
BOOKKEEPER,3,NaiveBayes,0.1,0.16091954022988506,0.7784386168260408,0.08348004010088772
BOOKKEEPER,3,RandomForest,0.3403141361256545,0.3735632183908046,0.6817522698734666,0.33149105014754
BOOKKEEPER,3,IBk,0.4793388429752066,0.4444444444444444,0.69475111883834,0.442308221686312
BOOKKEEPER,4,NaiveBayes,0.7727272727272727,0.3953488372093023,0.9424460244425475,0.5108015454100235
BOOKKEEPER,4,RandomForest,0.9137931034482759,0.6162790697674418,0.8224720753263517,0.7279885468861855
BOOKKEEPER,4,IBk,0.9270833333333334,0.689922480620155,0.8271651525982062,0.784287658658563
BOOKKEEPER,5,NaiveBayes,0.9454545454545454,0.8,0.9217850851438638,0.8631079920863032
BOOKKEEPER,5,RandomForest,0.9724770642201835,0.8153846153846154,0.9074392939794825,0.8840293993081199
BOOKKEEPER,5,IBk,0.9815950920245399,0.8205128205128205,0.9077333732475178,0.8910409259569709
BOOKKEEPER,6,NaiveBayes,0.12864077669902912,0.7210884353741497,0.8091678805964521,0.14826917548441654
BOOKKEEPER,6,RandomForest,0.23800564440263405,0.8605442176870748,0.8776759491045205,0.3213496635385601
BOOKKEEPER,6,IBk,0.273042273042273,0.8934240362811792,0.8913302365683318,0.3716045391904999
