Version Number,Filename,LOC_Touched,Number_Revisions,NumberBugFix,LOC_Added,MAX_LOC_Added,ChgSetSize,Max_ChgSet,AVG_ChgSet,Avg_LOC_Added,Buggy
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/Validator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/ClassValidator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/NullValidator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/RangeValidator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/net/ServiceURI.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/net/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/BroadCastStatsLogger.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/OpStatsListener.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Backoff.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/BoundedExecutorService.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/BoundedScheduledExecutorService.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ExceptionMessageHelper.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ExecutorUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/JsonUtil.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/LogExceptionRunnable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MathUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MdcUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MemoryLimitController.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/OrderedExecutor.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/OrderedScheduler.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Recyclable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ReferenceCounted.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ReflectionUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Retries.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/SafeRunnable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/SharedResourceManager.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/StreamUtil.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Watchable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Watcher.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/util/MathUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/util/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/collections/BlockingMpscQueueTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/collections/GrowableArrayBlockingQueueTest.java,0,0,0,0,0,0,0,0,0,No
