@relation OPENJPA

@attribute LOC_Touched real
@attribute NumberRevisions real
@attribute NumberBugFix real
@attribute LOC_Added real
@attribute MAX_LOC_Added real
@attribute Chg_Set_Size real
@attribute Max_Chg_Set real
@attribute AVG_Chg_Set real
@attribute Avg_LOC_Added real
@attribute Buggy {Yes, No}

@data
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
62,2,0,62,62,1504,1028,752,31,No
100,2,0,100,100,1504,1028,752,50,No
214,4,0,211,211,1612,1028,403,52,No
259,3,0,257,257,1523,1028,507,85,No
150,4,0,147,147,1612,1028,403,36,No
50,3,0,50,49,1507,1028,502,16,No
624,3,0,609,609,1581,1028,527,203,No
964,7,0,910,900,1608,1028,229,130,No
60,3,0,55,50,1581,1028,527,18,No
58,2,0,58,58,1504,1028,752,29,No
158,2,0,158,158,1504,1028,752,79,No
69,3,0,65,65,1526,1028,508,21,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
135,2,0,135,135,1504,1028,752,67,No
189,2,0,189,189,1504,1028,752,94,No
428,3,0,384,384,1511,1028,503,128,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
279,4,0,262,262,1588,1028,397,65,No
32,2,0,32,32,1504,1028,752,16,No
0,0,0,0,0,0,0,0,0,No
244,4,0,243,233,1720,1028,430,60,No
42,2,0,42,42,1504,1028,752,21,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
131,4,0,127,127,1720,1028,430,31,No
61,3,0,58,58,1643,1028,547,19,No
0,0,0,0,0,0,0,0,0,No
169,3,0,168,168,1581,1028,527,56,No
173,4,0,171,164,1720,1028,430,42,No
466,7,0,360,285,1754,1028,250,51,No
32,2,0,32,32,1504,1028,752,16,No
42,2,0,42,42,1504,1028,752,21,No
46,2,0,46,46,1504,1028,752,23,No
38,2,0,38,38,1504,1028,752,19,No
117,4,0,106,106,1668,1028,417,26,No
1800,10,0,1463,1458,1719,1028,171,146,No
735,6,0,637,636,1678,1028,279,106,No
43,2,0,43,43,1504,1028,752,21,No
468,3,0,457,457,1643,1028,547,152,No
0,0,0,0,0,0,0,0,0,No
382,3,0,369,369,1529,1028,509,123,No
217,2,0,217,217,1504,1028,752,108,No
460,4,0,445,445,1667,1028,416,111,No
177,2,0,177,177,1504,1028,752,88,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
44,2,0,44,44,1504,1028,752,22,No
142,4,0,129,129,1600,1028,400,32,No
75,3,0,70,70,1643,1028,547,23,No
130,3,0,129,129,1526,1028,508,43,No
272,4,0,263,263,1608,1028,402,65,No
178,3,0,166,166,1643,1028,547,55,No
0,0,0,0,0,0,0,0,0,No
628,4,0,625,625,1594,1028,398,156,No
40,2,0,40,40,1504,1028,752,20,No
200,2,0,200,200,1504,1028,752,100,No
0,0,0,0,0,0,0,0,0,No
64,3,0,54,54,1529,1028,509,18,No
82,5,0,71,61,1760,1028,352,14,No
231,6,0,200,192,1777,1028,296,33,No
34,2,0,34,34,1504,1028,752,17,No
105,4,0,92,91,1733,1028,433,23,No
34,2,0,34,34,1504,1028,752,17,No
209,4,0,186,178,1733,1028,433,46,No
42,3,0,41,41,1531,1028,510,13,No
0,0,0,0,0,0,0,0,0,No
91,4,0,80,79,1733,1028,433,20,No
91,4,0,82,81,1733,1028,433,20,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
159,4,0,142,134,1733,1028,433,35,No
117,4,0,102,101,1733,1028,433,25,No
209,5,0,179,171,1750,1028,350,35,No
249,5,0,211,211,1750,1028,350,42,No
88,3,0,83,83,1643,1028,547,27,No
89,4,0,78,77,1733,1028,433,19,No
190,4,0,185,178,1733,1028,433,46,No
70,3,0,66,66,1594,1028,531,22,No
46,2,0,46,46,1504,1028,752,23,No
58,4,0,56,56,1621,1028,405,14,No
73,3,0,70,70,1643,1028,547,23,No
0,0,0,0,0,0,0,0,0,No
53,3,0,49,49,1531,1028,510,16,No
67,4,0,58,57,1733,1028,433,14,No
225,4,0,203,202,1733,1028,433,50,No
83,3,0,75,75,1643,1028,547,25,No
0,0,0,0,0,0,0,0,0,No
97,4,0,83,83,1733,1028,433,20,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
283,6,0,246,232,1777,1028,296,41,No
103,2,0,103,103,1504,1028,752,51,No
106,3,0,101,101,1643,1028,547,33,No
0,0,0,0,0,0,0,0,0,No
80,2,0,80,80,1504,1028,752,40,No
213,1,0,213,213,6,6,6,213,No
216,4,0,191,184,1733,1028,433,47,No
35,2,0,29,29,117,90,58,14,No
206,5,0,184,176,1755,1028,351,36,No
44,2,0,44,44,1504,1028,752,22,No
95,4,0,80,79,1733,1028,433,20,No
44,2,0,44,44,1504,1028,752,22,No
0,0,0,0,0,0,0,0,0,No
201,5,0,171,163,1750,1028,350,34,No
167,6,0,155,154,1835,1028,305,25,No
86,4,0,73,72,1733,1028,433,18,No
85,4,0,73,72,1733,1028,433,18,No
42,2,0,42,42,1504,1028,752,21,No
485,7,0,454,450,1788,1028,255,64,No
44,2,0,44,44,1504,1028,752,22,No
29,2,0,29,29,1504,1028,752,14,No
56,3,0,54,54,1594,1028,531,18,No
61,3,0,59,59,1594,1028,531,19,No
91,3,0,87,87,1643,1028,547,29,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
148,4,0,134,133,1733,1028,433,33,No
198,5,0,171,163,1750,1028,350,34,No
42,3,0,41,41,1531,1028,510,13,No
42,3,0,41,41,1531,1028,510,13,No
99,4,0,87,86,1733,1028,433,21,No
84,3,0,76,76,1643,1028,547,25,No
0,0,0,0,0,0,0,0,0,No
85,4,0,74,73,1733,1028,433,18,No
56,3,0,53,53,1643,1028,547,17,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
121,4,0,108,107,1733,1028,433,27,No
702,7,0,675,633,1779,1028,254,96,No
121,3,0,117,117,1643,1028,547,39,No
0,0,0,0,0,0,0,0,0,No
71,3,0,69,69,1594,1028,531,23,No
38,2,0,38,38,1504,1028,752,19,No
36,2,0,36,36,1504,1028,752,18,No
408,9,0,358,352,1830,1028,203,39,No
0,0,0,0,0,0,0,0,0,No
64,4,0,58,58,1733,1028,433,14,No
41,2,0,41,41,1504,1028,752,20,No
288,4,0,267,266,1733,1028,433,66,No
169,5,0,145,138,1750,1028,350,29,No
61,2,0,61,61,1504,1028,752,30,No
299,5,0,239,238,1750,1028,350,47,No
196,5,0,166,158,1750,1028,350,33,No
52,3,0,51,51,1531,1028,510,17,No
49,2,0,49,49,1504,1028,752,24,No
49,2,0,49,49,1504,1028,752,24,No
231,5,0,204,196,1750,1028,350,40,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
209,6,0,178,171,1777,1028,296,29,No
179,4,0,161,161,1733,1028,433,40,No
215,4,0,196,188,1733,1028,433,49,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
957,2,0,957,957,1504,1028,752,478,No
341,2,0,341,341,1504,1028,752,170,No
112,2,0,112,112,1504,1028,752,56,No
125,2,0,125,125,1504,1028,752,62,No
416,3,0,412,383,1529,1028,509,137,No
173,2,0,173,173,1504,1028,752,86,No
71,3,0,69,69,1529,1028,509,23,No
84,3,0,82,82,1643,1028,547,27,No
1034,3,0,1013,1013,1643,1028,547,337,No
329,2,0,329,329,1504,1028,752,164,No
255,3,0,245,245,1643,1028,547,81,No
84,2,0,84,84,1504,1028,752,42,No
43,2,0,43,43,1504,1028,752,21,No
69,2,0,69,69,1504,1028,752,34,No
64,2,0,64,64,1504,1028,752,32,No
167,3,0,161,161,1505,1028,501,53,No
86,2,0,86,86,1504,1028,752,43,No
304,2,0,304,304,1504,1028,752,152,No
703,2,0,703,703,1504,1028,752,351,No
1758,4,0,1750,1748,1615,1028,403,437,No
1211,5,0,1183,1135,1593,1028,318,236,No
68,2,0,68,68,1504,1028,752,34,No
1219,7,0,1135,1104,1600,1028,228,162,No
139,2,0,139,139,1504,1028,752,69,No
163,2,0,163,163,1504,1028,752,81,No
60,2,0,60,60,1504,1028,752,30,No
231,2,0,231,231,1504,1028,752,115,No
610,3,0,608,608,1526,1028,508,202,No
135,2,0,135,135,1504,1028,752,67,No
35,2,0,35,35,1504,1028,752,17,No
160,2,0,160,160,1504,1028,752,80,No
2056,3,0,2053,2053,1581,1028,527,684,No
93,2,0,93,93,1504,1028,752,46,No
149,2,0,149,149,1504,1028,752,74,No
131,2,0,131,131,1504,1028,752,65,No
67,2,0,67,67,1504,1028,752,33,No
101,3,0,99,99,1643,1028,547,33,No
269,3,0,265,265,1529,1028,509,88,No
539,3,0,536,536,1526,1028,508,178,No
318,2,0,318,318,1504,1028,752,159,No
365,2,0,365,365,1504,1028,752,182,No
94,3,0,90,90,1526,1028,508,30,No
74,2,0,74,74,1504,1028,752,37,No
79,2,0,79,79,1504,1028,752,39,No
91,3,0,89,89,1529,1028,509,29,No
184,3,0,174,174,1643,1028,547,58,No
78,2,0,78,78,1504,1028,752,39,No
60,3,0,58,58,1643,1028,547,19,No
67,2,0,67,67,1504,1028,752,33,No
48,2,0,48,48,1504,1028,752,24,No
59,2,0,59,59,1504,1028,752,29,No
80,2,0,80,80,1504,1028,752,40,No
63,2,0,63,63,1504,1028,752,31,No
124,3,0,123,123,1593,1028,531,41,No
48,2,0,48,48,1504,1028,752,24,No
262,2,0,262,262,1504,1028,752,131,No
132,3,0,131,124,1510,1028,503,43,No
0,0,0,0,0,0,0,0,0,No
1586,3,0,1573,1573,1643,1028,547,524,No
173,3,0,169,169,1643,1028,547,56,No
92,2,0,92,92,1504,1028,752,46,No
0,0,0,0,0,0,0,0,0,No
65,2,0,65,65,1504,1028,752,32,No
133,2,0,133,133,1504,1028,752,66,No
0,0,0,0,0,0,0,0,0,No
414,3,0,401,401,1643,1028,547,133,No
265,3,0,255,255,1643,1028,547,85,No
0,0,0,0,0,0,0,0,0,No
262,3,0,258,258,1643,1028,547,86,No
83,2,0,83,83,1504,1028,752,41,No
95,2,0,95,95,1504,1028,752,47,No
147,3,0,144,144,1529,1028,509,48,No
99,3,0,96,96,1643,1028,547,32,No
156,3,0,149,149,1643,1028,547,49,No
244,3,0,234,234,1643,1028,547,78,No
452,3,0,430,430,1643,1028,547,143,No
0,0,0,0,0,0,0,0,0,No
184,3,0,175,175,1643,1028,547,58,No
104,2,0,104,104,1504,1028,752,52,No
93,2,0,93,93,1504,1028,752,46,No
110,2,0,110,110,1504,1028,752,55,No
80,2,0,80,80,1504,1028,752,40,No
266,3,0,260,260,1643,1028,547,86,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
86,2,0,86,86,1504,1028,752,43,No
55,2,0,55,55,1504,1028,752,27,No
51,2,0,51,51,1504,1028,752,25,No
52,2,0,52,52,1504,1028,752,26,No
60,2,0,60,60,1504,1028,752,30,No
46,2,0,46,46,1504,1028,752,23,No
81,2,0,81,81,1504,1028,752,40,No
405,3,0,400,400,1643,1028,547,133,No
85,2,0,85,85,1504,1028,752,42,No
99,3,0,94,94,1643,1028,547,31,No
98,3,0,93,93,1643,1028,547,31,No
775,6,0,731,731,1678,1028,279,121,No
0,0,0,0,0,0,0,0,0,No
184,3,0,170,170,1643,1028,547,56,No
184,3,0,170,170,1643,1028,547,56,No
0,0,0,0,0,0,0,0,0,No
207,2,0,207,207,1504,1028,752,103,No
320,4,0,309,309,1668,1028,417,77,No
297,5,0,276,276,1690,1028,338,55,No
321,2,0,321,321,1504,1028,752,160,No
562,3,0,527,527,1643,1028,547,175,No
262,3,0,257,257,1643,1028,547,85,No
164,3,0,161,161,1529,1028,509,53,No
66,3,0,62,62,1529,1028,509,20,No
48,2,0,48,48,1504,1028,752,24,No
43,2,0,43,43,1504,1028,752,21,No
122,3,0,119,119,1643,1028,547,39,No
130,3,0,129,129,1593,1028,531,43,No
151,2,0,151,151,1504,1028,752,75,No
0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,No
707,2,0,707,707,1504,1028,752,353,No
287,2,0,287,287,1504,1028,752,143,No
185,2,0,185,185,1504,1028,752,92,No
0,0,0,0,0,0,0,0,0,No
284,3,0,281,281,1526,1028,508,93,No
64,2,0,64,64,1504,1028,752,32,No
143,2,0,143,143,1504,1028,752,71,No
100,2,0,100,100,1504,1028,752,50,No
685,3,0,683,683,1593,1028,531,227,No
82,2,0,82,82,1504,1028,752,41,No
190,2,0,190,190,1504,1028,752,95,No
184,2,0,184,184,1504,1028,752,92,No
74,3,0,73,73,1593,1028,531,24,No
82,2,0,82,82,1504,1028,752,41,No
39,2,0,39,39,1504,1028,752,19,No
259,2,0,259,259,1504,1028,752,129,No
39,2,0,39,39,1504,1028,752,19,No
945,3,0,943,943,1593,1028,531,314,No
402,3,0,401,401,1526,1028,508,133,No
62,2,0,62,62,1504,1028,752,31,No
78,2,0,78,78,1504,1028,752,39,No
1523,2,0,1523,1523,1504,1028,752,761,No
232,2,0,232,232,1504,1028,752,116,No
212,3,0,209,209,1526,1028,508,69,No
184,3,0,180,180,1505,1028,501,60,No
695,3,0,692,692,1526,1028,508,230,No
493,2,0,493,493,1504,1028,752,246,No
